country,score
IS,0.9835185724614895
DK,0.9433457523267187
FI,0.932995351507312
CH,0.927599006923657
NZ,0.9139210872352083
IE,0.912497641937925
NL,0.9042062495016503
AT,0.901103660529885
NO,0.8983907730154254
AU,0.8883577412379943
CA,0.886092466319271
BE,0.880869838120158
SI,0.8802042750994064
SE,0.8717820204725536
DE,0.8710154347265283
CZ,0.857611244012152
GB,0.8435392325045239
ES,0.8243663444656594
JP,0.8199849148066916
LT,0.8172151735943506
EE,0.816410238878817
PT,0.8145105803724805
IT,0.8022751641927011
PL,0.796655093621428
LV,0.7865369371830754
HU,0.7817823087139053
SK,0.7780985042447139
KR,0.7778715350484237
FR,0.762587755823848
GR,0.7585689886233616
CR,0.7428431470194826
CL,0.736470019839472
US,0.700754292743668
IL,0.656148520927029
MX,0.5924982432776834
TR,0.539943177723907
CO,0.509109816360379
